Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity,sentence_length,Language,predicted_emotion,emotion_final,Sentence_corrected
00:00:53,00:00:55,Nie wiem jak mozna pomilic kibel z bidetem.,I don't know how you can confuse a toilet with a bidet.,bewilderment,surprise,mild,8,informal,surprise,surprise,nie wiem jak można pomylić kibel z bidetem.
00:00:57,00:00:59,"Jestem nie tylko przystojny, ale i swietnie wyposazony.","I am not only handsome, but also well-endowed.",pride,happiness,moderate,8,informal,happiness,happiness,"Jestem nie tylko przystojny, ale i świetnie wyposażony."
00:01:00,00:01:02,"Meza szukam, milosc sie szukam.","I'm looking for a husband, I'm looking for love.",longing,sadness,moderate,5,informal,sadness,sadness,"męża szukam, miłość się szukam."
00:01:03,00:01:04,Miec sie mega pompa.,To be super pumped.,excitement,happiness,intense,4,informal,neutral,happiness,mieć się mega pompą.
00:01:05,00:01:07,Ja robie rozpychuche! Ja!,I'm making a mess! Me!,assertiveness,anger,moderate,4,informal,anger,anger,Ja robię rozpychuchę! Ja!
00:01:07,00:01:09,Jestem najwieksza pogromca wszystkich gasek.,I am the greatest vanquisher of all geese.,pride,happiness,moderate,5,informal,happiness,happiness,Jestem największą pogromcą wszystkich gąsek.
00:01:09,00:01:11,Jestem naturalna pieknoscia.,I am a natural beauty.,pride,happiness,mild,3,informal,happiness,happiness,Jestem naturalną pięknością.
00:01:12,00:01:14,"Wszystkie dziewczyny i wszyscy parkety sa moje, tylko moje.","All the girls and all the dance floors are mine, only mine.",possessiveness,anger,moderate,9,informal,neutral,anger,"Wszystkie dziewczyny i wszyscy parkiety są moje, tylko moje."
00:01:15,00:01:17,"Jestem mala, ale jak Ci przywale to sie zginiesz.","I am small, but if I hit you, you'll be gone.",threat,anger,intense,9,informal,fear,anger,"Jestem mała, ale jak Ci przywalę to się zginiesz."
00:01:18,00:01:19,LOKSAN SZOL!,ŁOKSAN SPEAKS!,announcement,surprise,moderate,2,informal,neutral,surprise,ŁOKSAN SZEDŁ!
00:01:22,00:01:23,Gdzie jedziemy?,Where are we going?,curiosity,neutral,mild,2,informal,neutral,neutral,Gdzie jedziemy?
00:01:23,00:01:25,Jedziemy do Piekowa!,We're going to Pięków!,excitement,happiness,moderate,3,informal,happiness,happiness,Jedziemy do piękowa!
00:01:26,00:01:27,Zapolowac nas smogu.,Hunt us in the smog.,foreboding,fear,moderate,3,informal,disgust,fear,zapoluje nas smog.
00:01:27,00:01:28,Na dziewice.,For the virgin.,contempt,disgust,mild,2,informal,neutral,disgust,Na dziewicę.
00:01:30,00:01:31,Do Polski!,To Poland!,longing,happiness,mild,2,informal,happiness,happiness,Do Polski!
00:01:51,00:01:53,Dojechalismy do Krakowa na pelnej kurwie.,We arrived in Krakow at full throttle.,excitement,happiness,intense,6,informal,neutral,happiness,dojechaliśmy do Krakowa na pełnej kurwie.
00:01:54,00:01:56,"Wjechalismy tam wszyscy, cala ekipa.","We all went in there, the whole crew.",camaraderie,happiness,mild,5,informal,neutral,happiness,"wjechaliśmy tam wszyscy, całą ekipą."
00:02:00,00:02:04,"Po prostu jest pelno ludzi, jest ciagle wszedzie muzyka gra, wszedzie jakies tance.","There are just lots of people, there is always music playing everywhere, there are dances everywhere.",liveliness,happiness,moderate,13,informal,neutral,happiness,"Po prostu jest pełno ludzi, jest ciągle wszędzie muzyka gra, wszędzie jakieś tance."
00:02:04,00:02:08,"Jacys Hiszpanie tanczyli, czy nie wiadomo kto. Ciemni byli w kazdym badz razie.","Some Spaniards were dancing, or maybe it wasn't clear who. They were dark-skinned anyway.",prejudice,disgust,moderate,13,informal,neutral,disgust,"Jacys Hiszpanie tańczyli, czy nie wiadomo kto. Ciemni byli w każdym bądź razie."
00:02:10,00:02:15,Pawel mnie wzial na rece i oczywiscie zaprowadzil do tych ludzi pijanych czy tam nacpanych.,Paweł picked me up and of course led me to those drunk or maybe high people.,apprehension,fear,moderate,15,informal,disgust,fear,Paweł mnie wziął na ręce i oczywiście zaprowadził do tych ludzi pijanych czy tam naćpanych.
00:02:15,00:02:19,"Nie potanczylam sobie dlugo, bo stwierdzilam, ze to nie moj klimat tanca.","I didn't dance for long, because I decided that this wasn't my kind of dance atmosphere.",disinterest,neutral,mild,12,informal,neutral,neutral,"nie potańczyłam sobie długo, bo stwierdziłam, że to nie mój klimat tanca."
00:02:21,00:02:25,"Szlismy pozniej przy jakims kurcze scenie, jakims kurcze tancu ludowym.","We were later walking by some, damn, stage, some, damn, folk dance.",confusion,neutral,mild,10,informal,disgust,neutral,"szliśmy później przy jakimś kurcze scenie, jakimś kurcze tańcu ludowym."
00:02:25,00:02:28,Przygrywaly tam dziewczyny tam na jakis tam.,"The girls were playing music there, there on some kind of something.",confusion,neutral,mild,7,informal,disgust,neutral,przygrywały tam dziewczyny tam na jakiś tam.
00:02:28,00:02:33,"No jak sie na tych kurwa, co tam pizdo pizdo skrzypca.","Well, what about those fuckers, who are fiddling there like pizdo pizdo.",contempt,disgust,intense,11,informal,anger,anger,"No jak się na tych kurwa, co tam pizdo pizdo skrzypcach."
00:02:35,00:02:37,Ale ja pierdole.,But fuck me.,frustration,anger,moderate,3,informal,anger,anger,Ale ja pierdolę.
00:02:37,00:02:42,"Wskoczylismy szybko tam, zrobilismy male show, zeby tam potanczyc z tymi babciami.","We jumped in there quickly, put on a little show to dance with those grandmas.",playfulness,happiness,mild,12,informal,neutral,happiness,"wskoczyliśmy szybko tam, zrobiliśmy małe show, żeby tam potańczyć z tymi babciami."
00:02:42,00:02:46,"W Krakowie CGW, na okolniku 7.","In Krakow CGW, at Okolnik 7.",neutrality,neutral,neutral,6,informal,fear,neutral,"W Krakowie CGW, na Okolniku 7."
00:02:46,00:02:51,"Ogolnie zobaczylem, ze w Krakowie, ze wszystkie dziewczyny sie usmiechaja jak przechodza.","Generally, I noticed that in Krakow, all the girls smile as they walk by.",appreciation,happiness,mild,12,informal,happiness,happiness,"ogólnie zobaczyłem, że w Krakowie, że wszystkie dziewczyny się uśmiechają jak przechodzą."
00:02:51,00:02:56,"I podobno nawet Tyson dwa razy mi zwrocil uwage, ze zobacz stary, ta dziewczyna stanela","And apparently even Tyson pointed out to me twice, like look man, that girl stopped",recollection,neutral,mild,15,informal,neutral,neutral,"I podobno nawet Tyson dwa razy mi zwrócił uwagę, że zobacz stary, tą dziewczyna stanęła"
00:02:56,00:02:59,i obraca sie tak i patrzy za toba.,and he turns like this and looks after you.,curiosity,surprise,mild,8,informal,anger,surprise,i obraca się tak i patrzy za tobą.
00:02:59,00:03:01,To bylo mile.,That was nice.,appreciation,happiness,mild,3,informal,happiness,happiness,To było miłe.
00:03:01,00:03:03,Ale moze to wlasnie ten Krakow tak przyciaga.,But maybe it's this Krakow that attracts so much.,curiosity,surprise,mild,8,informal,neutral,surprise,Ale może to właśnie ten Krakow tak przyciąga.
00:03:03,00:03:08,"Moze ta hiszpanska, jakas tam podobizna moja do Hiszpana.","Maybe the Spanish one, some kind of resemblance of mine to a Spaniard.",self-reflection,neutral,neutral,9,informal,neutral,neutral,"może tą hiszpańska, jakas tam podobizna moja do Hiszpana."
00:03:15,00:03:19,"Jak zesmy szly z Ewelina, to stal taki facet z takim pieskiem.","When Ewelina and I were walking, there was a guy standing with a little dog.",recollection,neutral,neutral,12,informal,disgust,neutral,"jak żeśmy szly z Eweliną, to stał taki facet z takim pieskiem."
00:03:19,00:03:22,Gosciu nas jakims kotem przestraszyl.,The guy scared us with some cat.,startlement,surprise,mild,5,informal,fear,fear,gościu nas jakimś kotem przestraszył.
00:03:23,00:03:25,Jak zesmy sie zaczely drzec.,How we started yelling at each other.,conflict,anger,moderate,5,informal,surprise,anger,jak żeśmy się zaczęły drzec.
00:03:25,00:03:28,"Boze, jak ja sie wystraszylam.","God, how scared I was.",alarm,fear,intense,5,informal,fear,fear,"Boze, jak ja się wystraszylam."
00:03:28,00:03:31,"No masakra, nie? To bylo przestraszne.","Total massacre, right? That was terrifying.",horror,fear,intense,6,informal,fear,fear,"No masakra, nie? To było przestraszne."
00:03:33,00:03:35,Kolo sceny stal rycerz.,A knight stood by the stage.,calm,neutral,neutral,4,informal,disgust,neutral,Kolo sceny stał rycerz.
00:03:35,00:03:38,No i zbrojem. Ale chuj tam.,And I will arm myself. But fuck it.,resignation,sadness,moderate,6,informal,anger,anger,No i zbrojem. Ale chuj tam.
00:03:38,00:03:40,Wygladal na kozaka.,He looked like a tough guy.,admiration,happiness,mild,3,informal,disgust,happiness,Wygladal na kozaka.
00:03:40,00:03:42,"To mowie, musisz sie ze mna zmierzyc.","That's what I'm saying, you have to face me.",challenge,anger,moderate,7,informal,anger,anger,"To mowie, musisz się że mna zmierzyc."
00:03:42,00:03:43,Siema.,Hi.,greeting,neutral,neutral,1,informal,neutral,neutral,Siema.
00:03:43,00:03:46,"Podjal on meski boj, tam wymachiwal.","He undertook a manly fight, he was brandishing there.",determination,anger,moderate,6,informal,disgust,anger,"Podjal on meski boj, tam wymachiwal."
00:03:46,00:03:49,"W pewnym momencie na mnie wynakl, ktory psal.","At some point, he barked at me, the one who was barking.",startlement,surprise,mild,8,informal,neutral,surprise,"W pewnym momencie na mnie wynakl, ktory psal."
00:03:50,00:03:53,"Tak go dzgnalem w ta tarcze i widzialem, ze sie wkurwil.",So I stabbed him in that shield and I saw that he got pissed off.,provocation,anger,moderate,11,informal,anger,anger,"tak go dźgnąłem w tą tarczę i widziałem, że się wkurzył."
00:03:54,00:03:58,W sensie chuj po koniec juz macha szybciej tym mieczem.,"I mean, fuck, at the end he already swings that sword faster.",frustration,anger,moderate,10,informal,disgust,anger,W sensie chuj po KONIEC już macha szybciej tym mieczem.
00:03:58,00:04:01,"Ale dawalem rade tam, nadrawialem.","But I managed there, I made up for it.",resilience,happiness,mild,5,informal,neutral,happiness,"Ale dawalem rade tam, nadrawialem."
00:04:01,00:04:03,Oszczedzilem chlopa.,I spared the guy.,relief,happiness,mild,2,informal,disgust,happiness,Oszczedzilem chlopa.
00:04:03,00:04:05,"No co, kurwa no.","Well, fuck, no.",frustration,anger,moderate,4,informal,anger,anger,"No co, kurwa no."
00:04:05,00:04:08,"Niech sobie chlopak tam dorobi, nie?","Let the boy earn some extra money there, right?",acceptance,neutral,mild,6,informal,neutral,neutral,"Niech sobie chlopak tam dorobi, nie?"
00:04:13,00:04:15,Pochodzilismy troche po rynku.,We walked a bit around the market square.,contentment,happiness,mild,4,informal,fear,happiness,Pochodzilismy troche po rynku.
00:04:15,00:04:16,Nie spac!,Don't sleep!,command,anger,moderate,2,informal,anger,anger,nie spac!
00:04:16,00:04:17,Nie spac!,Don't sleep!,command,anger,moderate,2,informal,anger,anger,nie spac!
00:04:17,00:04:18,Zapierdalac!,Fuck off!,hostility,anger,intense,1,informal,anger,anger,Zapierdalac!
00:04:18,00:04:19,Zapierdalac!,Fuck off!,hostility,anger,intense,1,informal,anger,anger,Zapierdalac!
00:04:21,00:04:23,Bylismy na smoku.,We were on the dragon.,nostalgia,happiness,mild,3,informal,neutral,happiness,Bylismy na smoku.
00:04:23,00:04:25,Smok ogolnie jest kozakiem.,The dragon is generally a badass.,admiration,happiness,mild,4,informal,happiness,happiness,Smok ogólnie jest kozakiem.
00:04:25,00:04:27,Ja ogolnie nie widzialem smoka nigdy.,I have never seen a dragon in general.,curiosity,neutral,neutral,6,informal,disgust,neutral,Ja ogólnie nie widziałem smoka nigdy.
00:04:27,00:04:29,Gdzie ogien?,Where is the fire?,concern,fear,moderate,2,informal,neutral,neutral,Gdzie ogien?
00:04:29,00:04:30,Taki przyjadowy troszke.,A bit spiteful.,spite,anger,mild,3,informal,anger,anger,Taki przyjadowy troszke.
00:04:30,00:04:32,"Ja myslalem, ze troszeczke wiekszy bedzie, nie?","I thought it would be a little bigger, right?",disappointment,sadness,mild,7,informal,neutral,neutral,"Ja myslalem, że troszeczke wiekszy bedzie, nie?"
00:04:32,00:04:34,"Chcielismy znalezc dla niego dziewice,","We wanted to find a virgin for him,",expectation,neutral,mild,5,informal,neutral,neutral,"Chcielismy znalezc dla niego dziewicę,"
00:04:34,00:04:37,ale w calym Krajakowie nie znalezlismy takiej.,but in all of Krajaków we didn't find one like that.,disappointment,sadness,mild,7,informal,neutral,sadness,ale w calym Krajakowie nie znalezlismy takiej.
00:04:37,00:04:38,A nie zonie ogien?,And not fire to the wife?,confusion,surprise,mild,4,informal,anger,surprise,A nie zonie ogien?
00:04:38,00:04:40,Zrobimy sobie zdjecie na smoku.,We will take a photo on the dragon.,anticipation,happiness,mild,5,informal,neutral,happiness,Zrobimy sobie zdjecie na smoku.
00:04:43,00:04:45,Ja nie wchodze na to.,I'm not going on that.,refusal,fear,moderate,5,informal,disgust,fear,Ja nie wchodze na to.
00:04:47,00:04:48,Jestem!,I'm here!,presence,happiness,mild,1,informal,surprise,happiness,Jestem!
00:04:48,00:04:50,"Kurwa, tutaj wejsc?","Fuck, go in here?",confusion,surprise,moderate,3,informal,anger,anger,"kurwa, tutaj wejsc?"
00:04:50,00:04:52,"Czekaj, ja musze wejsc z drugiej strony.","Wait, I have to enter from the other side.",impatience,neutral,mild,7,informal,neutral,neutral,"Czekaj, ja musze wejsc z drugiej strony."
00:04:52,00:04:53,Wszyscy weszli na tego smoka.,Everyone got on that dragon.,curiosity,neutral,neutral,5,informal,neutral,neutral,wszyscy weszli na tego smoka.
00:04:53,00:04:56,"Ja oczywiscie nie, bo zalozylam pojebane jakies obcasy.","Of course not me, because I put on some fucked up heels.",frustration,anger,moderate,8,informal,anger,anger,"Ja oczywiście nie, bo zalozylam pojebane jakieś obcasy."
00:04:56,00:04:58,"Mi sie spierdolila swego, wiec sobie...","Mine got fucked up, so I...",frustration,anger,moderate,6,informal,anger,anger,"Mi się spierdolila swego, wiec sobie..."
00:04:58,00:05:01,wzialam sobie kolo smoka.,I took a seat near the dragon.,contentment,happiness,mild,4,informal,disgust,happiness,wzialam sobie kolo smoka.
00:05:01,00:05:02,"Dawaj, tu jade.","Come on, I'm coming here.",determination,neutral,mild,3,informal,neutral,neutral,"Dawaj, tu jade."
00:05:02,00:05:04,"Nie, naprawde, nie wejde na to.","No, really, I won't get on that.",refusal,fear,moderate,6,informal,disgust,fear,"nie, naprawdę, nie wejde na to."
00:05:04,00:05:06,W tych butach sie spieprze i sie polamie. Nie chce.,In these shoes I'll fall and break myself. I don't want to.,dread,fear,moderate,10,informal,fear,fear,W tych butach się spieprze i się polamie. nie chcę.
00:05:06,00:05:07,Chodz.,Come.,invitation,neutral,neutral,1,informal,neutral,neutral,Chodz.
00:05:07,00:05:08,"Nie, naprawde.","No, really.",insistence,neutral,mild,2,informal,surprise,neutral,"nie, naprawdę."
00:05:08,00:05:09,Tu ustan.,Stand here.,command,neutral,neutral,2,informal,anger,neutral,Tu ustan.
00:05:09,00:05:11,"Ewelina nie wyszla, bo sie chyba bala.",Ewelina didn't go out because she was probably afraid.,apprehension,fear,moderate,7,informal,fear,fear,"Eweliną nie wyszla, bo się chyba bala."
00:05:11,00:05:13,Jestem.,I am.,neutrality,neutral,neutral,1,informal,neutral,neutral,Jestem.
00:05:13,00:05:14,"Dobra, Kataniu.","Alright, Kataniu.",acceptance,neutral,neutral,2,informal,neutral,neutral,"dobra, Kataniu."
00:05:14,00:05:15,Wszyscy weszli na smoka.,Everyone got on the dragon.,excitement,happiness,moderate,4,informal,neutral,happiness,wszyscy weszli na smoka.
00:05:15,00:05:17,"Ja postanowilem, zeby byc troszke wyzej,","I decided to be a little higher,",aspiration,happiness,mild,6,informal,neutral,happiness,"Ja postanowilem, żeby byc troszke wyzej,"
00:05:17,00:05:19,zeby byc blizej zionacej glowy.,to be closer to the gaping head.,curiosity,neutral,mild,5,informal,sadness,neutral,żeby byc blizej zionacej glowy.
00:05:19,00:05:20,"Dobra, do punktu.","Alright, to the point.",impatience,anger,mild,3,informal,neutral,anger,"dobra, do punktu."
00:05:20,00:05:21,"A nie, bo Wojtek jest tam na gorze.","Oh no, because Wojtek is up there.",concern,fear,mild,8,informal,neutral,fear,"A nie, bo Wojtek jest tam na gorze."
00:05:21,00:05:22,"Wojtek, uwazaj.","Wojtek, be careful.",concern,fear,mild,2,informal,neutral,fear,"Wojtek, uwazaj."
00:05:23,00:05:24,Kazdy z nas go trzymal.,Each of us held it.,reminiscence,neutral,neutral,5,informal,neutral,neutral,każdy z nas go trzymal.
00:05:24,00:05:27,"Ja im wisialem, mocno go trzymalem.","I was hanging on them, I was holding him tightly.",determination,neutral,moderate,6,informal,disgust,neutral,"Ja im wisialem, mocno go trzymalem."
00:05:29,00:05:31,"Tak go scislem, ze az zional ogniem.",I squeezed him so hard that he breathed fire.,dominance,anger,intense,7,informal,disgust,anger,"tak go scislem, że az zional ogniem."
00:05:35,00:05:37,"Smok zional, to poczulem takie goraco,","The dragon breathed, then I felt such heat,",alarm,fear,moderate,6,informal,disgust,fear,"Smok zional, to poczulem takie goraco,"
00:05:37,00:05:39,"ze bylem pewien, ze zaraz mi spali wlosy.",that I was sure they were about to burn my hair.,apprehension,fear,moderate,8,informal,fear,fear,"że bylem pewien, że zaraz mi spali wlosy."
00:05:46,00:05:47,Nie.,No.,rejection,anger,mild,1,informal,neutral,anger,nie.
00:05:51,00:05:55,"Weszlismy do baru, no i prosilismy tam takiego pana,","We entered the bar, and we asked a man there,",recollection,neutral,neutral,9,informal,disgust,neutral,"Weszlismy do baru, no i prosilismy tam takiego pana,"
00:05:55,00:05:56,zeby wlaczylem TV.,so that I turned on the TV.,expectation,neutral,neutral,3,informal,neutral,neutral,żeby wlaczylem TV.
00:05:57,00:05:58,I nagle slysze krzyk.,And suddenly I hear a scream.,alarm,fear,moderate,4,informal,fear,fear,I nagle slysze krzyk.
00:05:58,00:06:00,"Odwracam sie, patrze.","I turn around, I look.",curiosity,neutral,neutral,3,informal,neutral,neutral,"Odwracam się, patrze."
00:06:02,00:06:04,"To nasza reklama, ekipa z Warszawy.","This is our advertisement, the team from Warsaw.",pride,happiness,mild,6,informal,neutral,happiness,"To nasza reklama, ekipą z Warszawy."
00:06:04,00:06:05,"Nie, to...","No, it's...",hesitation,neutral,mild,2,informal,neutral,neutral,"nie, to..."
00:06:05,00:06:06,Ja nie plywam.,I don't swim.,indifference,neutral,neutral,3,informal,neutral,neutral,Ja nie plywam.
00:06:06,00:06:07,Ja nie plywam.,I don't swim.,indifference,neutral,neutral,3,informal,neutral,neutral,Ja nie plywam.
00:06:07,00:06:09,"Ja nie jestem w klasie, nie tak samo wam.","I'm not in the classroom, it's not the same for you.",alienation,sadness,moderate,9,informal,neutral,sadness,"Ja nie jestem w klasie, nie tak samo wam."
00:06:09,00:06:10,Ja nie plywam.,I don't swim.,indifference,neutral,neutral,3,informal,neutral,neutral,Ja nie plywam.
00:06:10,00:06:12,Dziewczyny zajebiscie sie podniecily.,The girls got really excited.,excitement,happiness,intense,4,informal,happiness,happiness,Dziewczyny zajebiście się podniecily.
00:06:12,00:06:13,Ja tak samo.,Me too.,agreement,neutral,neutral,3,informal,neutral,neutral,Ja tak samo.
00:06:13,00:06:16,"Jak zobaczylem te nasze spoty, to po prostu dostalem energii.","When I saw our spots, I just got energized.",excitement,happiness,moderate,10,informal,happiness,happiness,"jak zobaczyłem te nasze spoty, to po prostu dostalem energii."
00:06:18,00:06:19,"Ej, byla platyna jakas.","Hey, there was some platinum.",curiosity,surprise,mild,4,informal,neutral,surprise,"Ej, byla platyna jakas."
00:06:20,00:06:23,"Jezu, kochany, to bylo niesamowite.","Jesus, dear, that was amazing.",awe,happiness,intense,5,informal,surprise,happiness,"Jezu, kochany, to było niesamowite."
00:06:23,00:06:27,"Ja spalem w basenie, nagle znowu ja ujezdzajac na szpinie.","I was sleeping in the pool, suddenly again I was riding on a spinach.",confusion,surprise,moderate,10,informal,surprise,surprise,"Ja spalem w basenie, nagle znowu ja ujezdzajac na szpinie."
00:06:28,00:06:30,"Nie, no po prostu to bylo szalenstwo, naprawde.","No, it was just madness, really.",astonishment,surprise,intense,8,informal,disgust,surprise,"nie, no po prostu to było szalenstwo, naprawdę."
00:06:30,00:06:32,Ja bylam tak podjarana.,I was so excited.,excitement,happiness,intense,4,informal,happiness,happiness,Ja bylam tak podjarana.
00:06:32,00:06:33,"Masakra, jogurt.","Massacre, yogurt.",disappointment,disgust,moderate,2,informal,neutral,disgust,"Masakra, jogurt."
00:06:33,00:06:34,"To wiesz, ze do tej pory.","You know, until now.",resignation,neutral,neutral,6,informal,neutral,neutral,"To wiesz, że do tej pory."
00:06:36,00:06:37,Zjedlismy sobie dobre jadlo.,We ate some good food.,satisfaction,happiness,mild,4,informal,neutral,happiness,Zjedlismy sobie dobre jadlo.
00:06:37,00:06:39,Limuzyna podjechala pod nas.,The limousine pulled up to us.,expectation,surprise,mild,4,informal,neutral,surprise,Limuzyna podjechala pod nas.
00:06:39,00:06:41,"Zapraszamy, drogie panie.","Welcome, dear ladies.",warmth,happiness,mild,3,informal,neutral,happiness,"Zapraszamy, drogie panie."
00:06:41,00:06:42,"Zapraszamy, drogie panie.","Welcome, dear ladies.",warmth,happiness,mild,3,informal,neutral,happiness,"Zapraszamy, drogie panie."
00:06:42,00:06:43,Wypad.,Get out.,dismissal,anger,moderate,1,informal,anger,anger,Wypad.
00:06:44,00:06:45,"No i na impreze, nie?","And to the party, right?",expectation,happiness,mild,5,informal,neutral,neutral,"No i na impreze, nie?"
00:06:47,00:06:50,"Jechalismy przez centrum, dlatego otworzylismy szyber dach.","We were driving through the city center, so we opened the sunroof.",contentment,happiness,mild,7,informal,neutral,happiness,"Jechalismy przez centrum, dlatego otworzylismy szyber dach."
00:06:51,00:06:54,Ogladajcie ekipe z Warszawy!,Watch the crew from Warsaw!,enthusiasm,happiness,moderate,4,informal,happiness,happiness,Ogladajcie ekipe z Warszawy!
00:06:57,00:06:59,Warsaw!,Warsaw!,excitement,happiness,mild,1,informal,surprise,happiness,Warsaw!
00:06:59,00:07:00,Puszczylismy do ludzi co chwile.,We sent it out to people every now and then.,routine,neutral,neutral,5,informal,neutral,neutral,Puszczylismy do ludzi co chwile.
00:07:00,00:07:02,"Warsaw, ogladajcie, Warsaw.","Warsaw, watch, Warsaw.",exhortation,neutral,neutral,3,informal,neutral,neutral,"Warsaw, ogladajcie, Warsaw."
00:07:03,00:07:05,Warszawa!,Warsaw!,excitement,happiness,mild,1,informal,surprise,happiness,Warszawa!
00:07:06,00:07:08,"Nasze haslo, nie spac, zwiedzac.","Our motto, don't sleep, explore.",enthusiasm,happiness,moderate,5,informal,neutral,happiness,"nasze haslo, nie spac, zwiedzac."
00:07:08,00:07:10,Zapierdalac!,Fuck off!,hostility,anger,intense,1,informal,anger,anger,Zapierdalac!
00:07:10,00:07:13,Ekipa z Warszawy!,Team from Warsaw!,pride,happiness,mild,3,informal,surprise,happiness,ekipą z Warszawy!
00:07:13,00:07:15,Na chwile sie da juz pozytywnie.,"For a moment, it's already possible to be positive.",hope,happiness,mild,6,informal,neutral,happiness,Na chwile się da już pozytywnie.
00:07:15,00:07:18,"Wiecej do NRG, Warszawa 4 bedzie!","More to NRG, Warsaw 4 will be!",anticipation,happiness,moderate,6,informal,neutral,happiness,"Wiecej do NRG, Warszawa 4 bedzie!"
00:07:18,00:07:20,"Ania chrzczala, zapraszamy do NRG.","Ania was having a christening, we invite you to NRG.",invitation,happiness,mild,5,informal,happiness,happiness,"Ania chrzczala, zapraszamy do NRG."
00:07:23,00:07:26,"I brzmiamy, Warszawa 4, wielkie krzyki dla was!","And we sound, Warsaw 4, big shouts for you!",excitement,happiness,intense,8,informal,happiness,happiness,"I brzmiamy, Warszawa 4, wielkie krzyki dla was!"
00:07:27,00:07:28,No i co?,So what now?,curiosity,neutral,neutral,3,informal,surprise,surprise,No i co?
00:07:28,00:07:31,"I brzmiamy, Warszawa 4, wielkie krzyki dla was!","And we sound, Warsaw 4, big shouts for you!",excitement,happiness,intense,8,informal,happiness,happiness,"I brzmiamy, Warszawa 4, wielkie krzyki dla was!"
00:07:38,00:07:40,"Przybijalismy piatki tam na przystankach,","We were high-fiving there at the bus stops,",camaraderie,happiness,mild,5,informal,anger,happiness,"Przybijalismy piatki tam na przystankach,"
00:07:40,00:07:43,"chcielismy porwac jedna laske, ale sie nie dalo.","We wanted to kidnap one girl, but it wasn't possible.",frustration,sadness,mild,8,informal,sadness,sadness,"chcielismy porwac jedną laske, ale się nie dalo."
00:07:46,00:07:48,"Chodzi o to, zeby pobudzic troszke ludzi,","The point is to stimulate people a little,",motivation,happiness,mild,7,informal,neutral,happiness,"Chodzi o to, żeby pobudzic troszke ludzi,"
00:07:48,00:07:50,pobudzic ludzi w Krakowie.,to energize people in Krakow.,motivation,happiness,mild,4,informal,happiness,happiness,pobudzic ludzi w Krakowie.
