Segment_id,Start_time_seconds,End_time_seconds,Start_time_formatted,End_time_formatted,Duration_seconds,Sentence,Emotion_core
574,3987.55,3991.05,66:27,66:31,3.5,Firma Install Audio przedstawi najlepsze rozwiązania.,neutral
98,426.48,430.06,07:06,07:10,3.58,"I te cykle, które powtarzamy, też tak toksyczne, tak?",neutral
214,518.54,521.38,08:38,08:41,2.84,No dobra.,neutral
1475,5422.91,5424.61,90:22,90:24,1.7,"Myślę, że nie ma potrzeby.",neutral
925,2431.87,2434.93,40:31,40:34,3.06,"Trzymaj się, żeby to było jak najbardziej na prądu.",neutral
745,2851.8,2853.64,47:31,47:33,1.84,Jakiś zawstydzony.,neutral
1180,4446.37,4450.31,74:06,74:10,3.94,Mirek Baka chyba jest takim idiomatycznym bohaterem.,neutral
296,1424.86,1427.86,23:44,23:47,3.0,Piotrek.,neutral
473,3330.02,3333.26,55:30,55:33,3.24,"Myślę, że tak.",neutral
1298,4884.48,4888.12,81:24,81:28,3.64,A zdarza Wam się zagotować na planie?,neutral
232,799.9,805.08,13:19,13:25,5.18,Buddyzm wyznaje prawie 85% mieszkańców Laosu.,neutral
484,2500.94,2502.78,41:40,41:42,1.84,Udało się.,neutral
151,334.64,336.7,05:34,05:36,2.06,No i jest światło i nie ma tego czegoś.,neutral
382,850.85,851.95,14:10,14:11,1.1,A tam kogoś też.,neutral
483,1712.43,1717.49,28:32,28:37,5.06,Możesz jeszcze raz powiedzieć.,neutral
529,1447.81,1449.17,24:07,24:09,1.36,"Zostaw, wracaj!",neutral
44,200.37,221.21,03:20,03:41,20.84,"Wiesz, ja mam do tej pory tak, że kiedy wychodzę na scenę i wiem, że to jest transmitowane na żywo albo po prostu będzie to transmitowane w telewizji, to muszę wykonać szereg działań, które uspokoją mój organizm, bo to jest kwestia tego, że my się zawsze gdzieś Chcemy podować, chcemy spełnić czyjeś oczekiwania, a to jest najgorszy kierunek.",neutral
654,2221.84,2229.21,37:01,37:09,7.37,No i tutaj opowiedziałem chłopakom To jest propaganda.,neutral
915,3399.24,3404.14,56:39,56:44,4.9,"To nie jest to, że to mężczyzna.",neutral
152,376.25,378.83,06:16,06:18,2.58,"Ej, dajcie mi tę piłeczkę z zaplecza, proszę.",neutral
282,1224.29,1227.33,20:24,20:27,3.04,"Wydajecie muzykę, a my słowa.",neutral
590,2194.19,2197.71,36:34,36:37,3.52,"Nie, degustacja jeszcze się nie zakończyła.",neutral
194,678.72,681.79,11:18,11:21,3.07,Dostałam nagrodę od Ministerstwa Zdrowia nawet.,neutral
24,88.81,90.08,01:28,01:30,1.27,"To dla Ciebie, natomiast...",neutral
19,97.04,99.7,01:37,01:39,2.66,Znamy się już wiele lat.,neutral
416,938.33,939.55,15:38,15:39,1.22,Czas start.,neutral
199,716.58,719.7,11:56,11:59,3.12,My tylko przygotowujemy się na przybycie brzytwiarza.,neutral
155,712.12,713.18,11:52,11:53,1.06,To się czuje.,neutral
171,612.48,613.7,10:12,10:13,1.22,Piąteczka.,neutral
115,237.98,239.34,03:57,03:59,1.36,Jak byś wolał?,neutral
233,839.97,844.29,13:59,14:04,4.32,Don't listen about her.,neutral
714,1760.13,1761.07,29:20,29:21,0.94,"No tak, no.",neutral
997,3670.63,3674.71,61:10,61:14,4.08,"Ale wcześniej pisałam po prostu nie zastanawiając się nad tym, co się ludziom spodoba.",neutral
176,629.31,635.17,10:29,10:35,5.86,"Proszę państwa, do miliona zostały już tylko dwa zadania.",neutral
328,731.34,731.62,12:11,12:11,0.28,Już!,neutral
1154,4178.82,4182.2,69:38,69:42,3.38,No rób swoje i rób konsekwentnie swoje i przyjdą ludzie.,neutral
142,412.74,415.66,06:52,06:55,2.92,"A tam za cicho, pochlali się i śpią pewnie.",neutral
632,2321.09,2324.09,38:41,38:44,3.0,Oczywiście.,neutral
259,950.35,955.27,15:50,15:55,4.92,Dlatego uczestnictwo w obrzędach religijnych stanowi integralną część ich życia.,neutral
280,1260.26,1262.54,21:00,21:02,2.28,No i to ulubiony serial naszej babci.,neutral
352,843.08,847.04,14:03,14:07,3.96,"Musisz, tutaj bliżej, o, daj, daj, daj.",neutral
544,1345.68,1347.62,22:25,22:27,1.94,"No nie wiem, ale dobra, czas chyba decyzji.",neutral
497,1595.74,1597.58,26:35,26:37,1.84,"Tyle brał, tyle pił.",neutral
908,3314.13,3315.79,55:14,55:15,1.66,I to nie tyczy się tylko moich związków.,neutral
145,791.63,793.43,13:11,13:13,1.8,"Tak, to jest strasznie droga zabawa.",neutral
15,133.84,135.7,02:13,02:15,1.86,Witam was w forcie Bueyaz.,neutral
27,130.73,132.41,02:10,02:12,1.68,I biegłeś na skróty.,neutral
457,1833.11,1842.34,30:33,30:42,9.23,"I wydaje mi się, że tata nawet nie zdawał sobie sprawy, że tam jakieś emocje w tych dzieciaczkach tkwią, o których warto porozmawiać, czy do nich zajrzeć, czy zbadać.",neutral
214,500.54,501.14,08:20,08:21,0.6,Przynieść?,neutral
544,1848.79,1850.75,30:48,30:50,1.96,Na zdrowie.,neutral
189,616.37,616.93,10:16,10:16,0.56,Zobaczcie.,neutral
297,629.75,631.25,10:29,10:31,1.5,"Dobra, bułeczka jest gotowa, panowie.",neutral
1285,4802.6,4810.6,80:02,80:10,8.0,"Ale poczekaj, bo ty jesteś taki wesolutki, mówisz, że Bogdan był lubiany, ale ja też wiem od produkcji, że ty byłeś jedyną osobą na castingu do roli Bogdana.",neutral
329,702.13,703.77,11:42,11:43,1.64,"No wygląda ostro, nie?",neutral
248,802.12,808.6,13:22,13:28,6.48,"Proszę Państwa, ja muszę powiedzieć, że poznali Państwo dzisiejszą gwiazdę naszego programu.",neutral
368,894.66,895.14,14:54,14:55,0.48,Dobra.,neutral
194,775.43,779.95,12:55,12:59,4.52,"To są geny, dobre prowadzenie się przez całe życie.",neutral
231,774.4,777.02,12:54,12:57,2.62,I nawet wizualnie spoko ze sobą wyglądają.,neutral
120,276.24,278.84,04:36,04:38,2.6,Stałem w dwóch narożnikach.,neutral
428,969.25,971.74,16:09,16:11,2.49,Jak wyglądają chińskie dzieci?,neutral
465,937.16,937.56,15:37,15:37,0.4,Ciekawe.,neutral
171,595.67,598.09,09:55,09:58,2.42,"I idę spać, i chuj.",neutral
64,140.77,143.75,02:20,02:23,2.98,"To znaczy, żeby ci się smakowało.",neutral
346,1371.17,1372.93,22:51,22:52,1.76,"Miniserialu, tak?",neutral
144,463.58,465.78,07:43,07:45,2.2,"Tak, trochę tak, takie wprost pytanie.",neutral
235,617.12,621.9,10:17,10:21,4.78,Nie tatwiłeś debilu?,neutral
1041,7177.72,7179.49,119:37,119:39,1.77,I co byś później nie zrobił?,neutral
154,539.29,540.87,08:59,09:00,1.58,No jak ryba po prostu.,neutral
346,1710.63,1714.15,28:30,28:34,3.52,Tutaj nie jest przeszymające?,neutral
58,183.52,187.44,03:03,03:07,3.92,Nie nadaję się do tego życia.,neutral
73,142.72,145.15,02:22,02:25,2.43,Bardzo żart.,neutral
248,1199.77,1202.55,19:59,20:02,2.78,Łukasz nie potrafi ukryć radości.,neutral
346,760.56,761.64,12:40,12:41,1.08,"Ja jestem pewien, że to Dominik.",neutral
1280,4794.84,4795.48,79:54,79:55,0.64,Puśćmy to teraz.,neutral
386,896.66,897.32,14:56,14:57,0.66,Dobrze.,neutral
238,517.35,518.17,08:37,08:38,0.82,I druga pro.,neutral
238,791.03,793.53,13:11,13:13,2.5,Młode musi się wyszumieć.,neutral
12,56.37,57.58,00:56,00:57,1.21,Już cztery lata i ja nie mogę.,neutral
264,805.95,808.99,13:25,13:28,3.04,"Zaraz, zaraz, zaraz.",neutral
194,745.25,748.13,12:25,12:28,2.88,I każdy musi się tuk-tukiem przejechać.,neutral
201,1260.51,1272.85,21:00,21:12,12.34,"Czy też Naomi, która była spóźniona na przymiarki do jednej z takich czołowych amerykańskich projektantek, a spóźniona była dwa dni i cały czas była w drodze.",neutral
259,1164.57,1168.09,19:24,19:28,3.52,"Hi, boys.",neutral
157,353.67,354.59,05:53,05:54,0.92,Baran?,neutral
196,419.3,421.18,06:59,07:01,1.88,3 po 3.,neutral
19,64.76,67.26,01:04,01:07,2.5,Ale mam oglądać do końca.,neutral
1006,3693.48,3694.5,61:33,61:34,1.02,To miało też dobrę liczbę.,neutral
288,969.5,969.84,16:09,16:09,0.34,Ja.,neutral
195,642.05,643.09,10:42,10:43,1.04,Dziękuję.,neutral
266,813.55,814.41,13:33,13:34,0.86,No tak.,neutral
277,1142.27,1148.27,19:02,19:08,6.0,"No bo jednak to jest duży plecak, który wkładasz sobie kamienie, gdzie nie musisz tego jednak nosić oczami swojej wyobraźni.",neutral
357,1507.05,1508.59,25:07,25:08,1.54,Nic nie kumasz z rana.,neutral
122,541.46,542.14,09:01,09:02,0.68,"Ale niebieskie, zobacz.",neutral
268,1996.14,1999.16,33:16,33:19,3.02,No i teraz przejdźmy do tego wyrzucenia z internatu.,neutral
639,2478.18,2478.44,41:18,41:18,0.26,Tak.,neutral
280,1133.04,1136.2,18:53,18:56,3.16,Nie właśnie.,neutral
444,1704.61,1705.55,28:24,28:25,0.94,Cena?,neutral
325,744.84,747.34,12:24,12:27,2.5,Będziesz miał okazję się z nim sprawdzić już niedługo.,neutral
209,464.41,465.37,07:44,07:45,0.96,Jakaś kobieta to potwierdzi?,neutral
310,705.68,709.05,11:45,11:49,3.37,"Do właśnie walki, do właśnie walki na Army Fight Night.",neutral
210,859.93,860.73,14:19,14:20,0.8,Gładka.,neutral
1215,4388.36,4389.82,73:08,73:09,1.46,"No dobrze, ale zobacz, jak to ma brzmieć.",neutral
229,657.61,659.01,10:57,10:59,1.4,"Cześć, Eliza.",neutral
15,29.55,30.34,00:29,00:30,0.79,Ile byłeś łącznie?,neutral
103,202.3,203.1,03:22,03:23,0.8,Tak szczerze.,neutral
278,571.25,572.12,09:31,09:32,0.87,4 jajka.,neutral
161,402.88,404.88,06:42,06:44,2.0,"Uważasz, że masz większe od Roberta umiejętności?",neutral
342,764.9,765.73,12:44,12:45,0.83,"Ta, to zjedz to.",neutral
174,730.39,734.17,12:10,12:14,3.78,"pojawiała się jakaś tam oferta, a ja czułam, że fizycznie potrzebuję przerwy albo np.",neutral
1459,5557.51,5561.25,92:37,92:41,3.74,"Jest w tym dużo prawdy niestety, tak mi się wydaje.",neutral
58,203.95,205.03,03:23,03:25,1.08,Nic z tego.,neutral
290,1159.79,1160.77,19:19,19:20,0.98,Cały czas?,neutral
130,353.6,355.22,05:53,05:55,1.62,"Chyba jest, skoro sprawa nie jest wyjaśniona.",neutral
253,821.9,823.9,13:41,13:43,2.0,My zaproponowaliśmy lwy.,neutral
161,610.22,610.54,10:10,10:10,0.32,Mariusz!,neutral
68,330.7,332.02,05:30,05:32,1.32,Nie boisz się wysokości?,neutral
159,679.34,681.28,11:19,11:21,1.94,"No bo to nie są programy w moim, w moim guście.",neutral
12,65.95,67.2,01:05,01:07,1.25,"Drugi rok, tak.",neutral
258,878.4,880.4,14:38,14:40,2.0,"O, stary.",neutral
439,1963.17,1965.97,32:43,32:45,2.8,Czy wyciągnie odpowiednie wnioski z występów rywali?,neutral
277,655.81,656.63,10:55,10:56,0.82,My naukowcy.,neutral
468,1277.38,1279.86,21:17,21:19,2.48,"No dziewczyno, no ja pierdolę, no.",neutral
527,2103.83,2112.85,35:03,35:12,9.02,"I dlatego mój pierwszy chłopak był z getto, z Filadelfii, z piwnicy, mieszkał u swojej babci w piwnicy i wiesz, nie wiedział nawet, z której ręce trzyma się widelec.",neutral
259,904.83,905.57,15:04,15:05,0.74,Tylko spać.,neutral
225,487.64,488.35,08:07,08:08,0.71,Bez przepisów?,neutral
470,1774.87,1777.45,29:34,29:37,2.58,Chyba mają bekę ze mnie.,neutral
0,0.01,4.71,00:00,00:04,4.7,Witam wszystkich bardzo serdecznie z tej strony oczywiście Maja i Ponywać.,neutral
376,907.5,909.1,15:07,15:09,1.6,Chciałbyś.,neutral
852,5836.15,5842.37,97:16,97:22,6.22,"Jak sobie spojrzałem na to, to pomyślałem sobie, że jest to zderzenie dwóch przegranych relacji na maksa.",neutral
285,671.15,673.35,11:11,11:13,2.2,I oni czytają takie książki.,neutral
38,103.94,108.38,01:43,01:48,4.44,"Potem sobie ustawimy dwa dotknięcia, czyli stamtąd będzie grana piłka w obręb szesnastki.",neutral
1001,3766.19,3767.15,62:46,62:47,0.96,Czyli?,neutral
22,104.23,108.59,01:44,01:48,4.36,"I oni wtedy byli, bo te składy, wiadomo, trenerskie się zmieniały i oni byli wtedy.",neutral
157,614.36,616.4,10:14,10:16,2.04,"Panie Januszu, jest czternasta, a ja się...",neutral
793,2950.42,2957.08,49:10,49:17,6.66,"Powiedzieliśmy, że osiągnęłam jakiś tam poziom, który ty ująłeś słowem na M, ale nie powiedzieliśmy ile to było.",neutral
661,1390.16,1393.48,23:10,23:13,3.32,Spotkaliśmy się wspólnie przy barze.,neutral
943,2482.97,2484.03,41:22,41:24,1.06,Pudziak!,neutral
60,294.2,298.62,04:54,04:58,4.42,"Właśnie dlatego, że teraz uważam, że nastał czas kobiet.",neutral
622,4242.31,4246.99,70:42,70:46,4.68,"Tak tak Wydaje mi się, że ona to dość traumatycznie wspominała na pewno, przegadałyśmy.",neutral
308,653.06,654.6,10:53,10:54,1.54,"Nie, bo zapijesz, daj obok.",neutral
132,278.96,280.92,04:38,04:40,1.96,O Boże.,neutral
111,265.1,266.54,04:25,04:26,1.44,A to koty się marcują.,neutral
99,379.55,380.65,06:19,06:20,1.1,Łaśmiornica.,neutral
262,1528.85,1531.51,25:28,25:31,2.66,Poglądam Cię tak.,neutral
89,666.4,670.42,11:06,11:10,4.02,"Więc dziękuję za ten insight, będę się przyglądał.",neutral
472,1155.69,1156.05,19:15,19:16,0.36,No możemy.,neutral
69,139.12,140.06,02:19,02:20,0.94,Taki żółw.,neutral
154,812.83,814.07,13:32,13:34,1.24,Jeszcze jedna.,neutral
1015,3791.99,3793.27,63:11,63:13,1.28,"Czwartego czy piątego, nie?",neutral
287,1086.18,1088.44,18:06,18:08,2.26,Też tak myślę.,neutral
6,25.61,30.53,00:25,00:30,4.92,"Trzy, dwa, jeden.",neutral
0,53.37,61.47,00:53,01:01,8.1,"Zakupiony pośród fal oceanu, Fort Boyard kryje w sobie wiele tajemnic i złoto, które mogą zdobyć tylko najlepsi.",neutral
522,1043.68,1046.82,17:23,17:26,3.14,"Mówiłem Panowie, ja w tych sytuacjach się nie znajduję.",neutral
156,542.56,543.9,09:02,09:03,1.34,Najebista sprawa w ogóle.,neutral
229,824.83,826.21,13:44,13:46,1.38,To jest mój kolega policja.,neutral
163,570.7,577.89,09:30,09:37,7.19,"Mała Ania, Ewelina jeszcze ją namawiały do tego, aby ze mną zasnęła.",neutral
165,446.83,449.83,07:26,07:29,3.0,głównym.,neutral
335,766.84,767.78,12:46,12:47,0.94,No dobrze.,neutral
105,413.5,418.22,06:53,06:58,4.72,"Ania powiedziała, że jestem taki kochany jak nigdy.",neutral
239,602.4,606.01,10:02,10:06,3.61,O Kto tam był?,neutral
408,1616.72,1618.6,26:56,26:58,1.88,Aktualną.,neutral
515,1808.17,1811.59,30:08,30:11,3.42,Paweł puszczaj do cholery.,neutral
193,968.65,971.25,16:08,16:11,2.6,Dzień dobry.,neutral
222,742.29,748.47,12:22,12:28,6.18,"Trzeba szybko ugryźć główkę, bo inaczej larwa ugryzie nas, a potem można przegryźć nietoperze.",neutral
111,231.91,234.01,03:51,03:54,2.1,"To jest slendermant, nie, nie slendermant, bo taki duży.",neutral
151,290.7,292.98,04:50,04:52,2.28,"Zobacz tylko tą konsystencję, taka jest specyficzna.",neutral
495,1152.18,1156.76,19:12,19:16,4.58,"I na przykład jedziesz furą, zatrzymuje cię policja i mówi, a wiesz na co cię zatrzymujemy.",neutral
253,531.12,532.38,08:51,08:52,1.26,O tam!,neutral
13,53.49,59.52,00:53,00:59,6.03,"I niezależnie jakie to emocje, postaram się pomóc wam poznać tego człowieka.",neutral
358,783.81,784.53,13:03,13:04,0.72,Chcesz go?,neutral
135,580.05,581.47,09:40,09:41,1.42,No to nie o to chodzi.,neutral
571,1312.46,1314.78,21:52,21:54,2.32,To było przedwczoraj chyba.,neutral
935,2456.07,2459.07,40:56,40:59,3.0,Jeszcze.,neutral
701,1859.26,1859.94,30:59,30:59,0.68,A przyłóż.,neutral
294,752.43,754.05,12:32,12:34,1.62,W gimnazjum byłem dzieckiem.,neutral
173,352.38,353.42,05:52,05:53,1.04,"Dobra, przejdźmy dalej.",neutral
433,1449.88,1452.88,24:09,24:12,3.0,Dobra.,neutral
801,2980.23,2981.35,49:40,49:41,1.12,Ja też tak uważam.,neutral
584,1975.28,1976.64,32:55,32:56,1.36,To jest najniższe.,neutral
220,748.99,752.47,12:28,12:32,3.48,"No, częściej się wiedzie i teraz pytanie czy...",neutral
377,1144.69,1147.65,19:04,19:07,2.96,Dużo czasu jeszcze masz.,neutral
1071,3852.31,3854.07,64:12,64:14,1.76,"Bo moda i zakochana, co mogę zrobić, wiesz.",neutral
171,538.13,541.79,08:58,09:01,3.66,"O, to ten kawałek, to ten kawałek.",neutral
507,872.13,874.75,14:32,14:34,2.62,I sobie idzie i obgryza.,neutral
75,203.23,206.57,03:23,03:26,3.34,"Słuchaj, ja akurat szanuję kolegów tak, że się potrafię normalnie zachować.",neutral
291,942.77,945.03,15:42,15:45,2.26,"Spokojnie, spokojnie, cały czas tak trzymaj.",neutral
1422,5402.16,5404.17,90:02,90:04,2.01,"Czy ciebie, ze mną, z nim...",neutral
40,237.96,240.34,03:57,04:00,2.38,Takiego widoku nikt się nie spodziewał.,neutral
10,25.35,29.57,00:25,00:29,4.22,"Ooo, mocne słowa, mocne słowa.",neutral
157,824.37,829.49,13:44,13:49,5.12,"Kurczę, to wiele rzeczy, ale chyba ludzie.",neutral
561,1902.92,1908.12,31:42,31:48,5.2,"Dobra, lecę się umyć i lecimy poznać trochę prawdziwej Rumunii.",neutral
653,2314.66,2318.49,38:34,38:38,3.83,"Lepiej grajmy w milion minut, a pośpiewamy jak wygramy bańkę.",neutral
535,1855.18,1858.44,30:55,30:58,3.26,Masz minutę.,neutral
50,136.06,138.28,02:16,02:18,2.22,"Dobra Wojta, zostaw browar i spadam.",neutral
35,159.78,172.38,02:39,02:52,12.6,"To, że miałam multikulturowo w domu, więc miałam też kuchnię afrykańską, kuchnię polską, trochę góralskiej i tak dalej, więc to wszystko myślę, że miało wpływ na rozbudzenie i pobudzenie moich kubków smakowych.",neutral
366,1192.12,1196.72,19:52,19:56,4.6,"Ogólnie podobało mi się to zdjęcie, podobała mi się moja poza.",neutral
180,670.22,676.98,11:10,11:16,6.76,"No tak, chodzi mi o wschód, raczej mówimy o zagranicą, że wiesz, Ukraina, Białorusi.",neutral
747,5116.24,5118.64,85:16,85:18,2.4,Nie nie.,neutral
253,1511.07,1513.11,25:11,25:13,2.04,Mogę dotknąć sufitu?,neutral
583,1645.77,1647.25,27:25,27:27,1.48,Nie znacie nawet jego imienia?,neutral
971,3572.83,3573.01,59:32,59:33,0.18,"Nie, no obieccy.",neutral
1040,3479.73,3480.99,57:59,58:00,1.26,Bez wątpliwości.,neutral
226,492.68,493.94,08:12,08:13,1.26,Dwa oczka takie malutkie.,neutral
91,579.42,581.66,09:39,09:41,2.24,"No wyglądały tak jak kukły po prostu, nie?",neutral
68,228.87,230.31,03:48,03:50,1.44,Nigdy ja nie zaczepiam pierwsza.,neutral
59,181.72,183.84,03:01,03:03,2.12,Uwielbiam kolor różowy.,neutral
40,236.36,238.38,03:56,03:58,2.02,No teraz z nami bardzo dużo.,neutral
610,2374.57,2376.81,39:34,39:36,2.24,Moje wymarzone studia.,neutral
302,1256.31,1256.95,20:56,20:56,0.64,Wszystko.,neutral
93,364.92,365.72,06:04,06:05,0.8,Świetne.,neutral
133,392.15,394.87,06:32,06:34,2.72,"No właśnie, waluty się w ogóle nie opyla.",neutral
401,1606.48,1611.34,26:46,26:51,4.86,"I myślę, że zawalczył po prostu o nią.",neutral
300,1337.41,1353.05,22:17,22:33,15.64,"No i te suknie, te romanse, zdrady, ten blichtr, te kryształy wszędzie, ten Swarowski, znaczy tam pewnie diamenty, te baby bijące się po twarzach, ten nieodwieczny konflikt Krystal kontra Aleksis.",neutral
174,386.44,387.36,06:26,06:27,0.92,Słaby.,neutral
1299,4888.12,4891.94,81:28,81:31,3.82,"Zdarzały się takie sytuacje, że musieliście jakiejś sceny grać oddzielnie?",neutral
207,510.18,511.56,08:30,08:31,1.38,Są takie puste.,neutral
15,39.46,42.02,00:39,00:42,2.56,"Pamiętajcie, że im więcej zjemy, tym więcej będzie zżywiania.",neutral
575,1180.88,1182.1,19:40,19:42,1.22,Uwaga.,neutral
184,1088.05,1091.83,18:08,18:11,3.78,"Tak, trzy deski, snowboard, surfing i deskrolkę.",neutral
629,1624.67,1630.93,27:04,27:10,6.26,"Wiem, że miałem też pewne tam problemy, przez które nie mogłem się przygotować w pełni do tej walki, ale nie wiem, czy potrzebuję tego rewanżu.",neutral
49,354.73,356.09,05:54,05:56,1.36,Ma bardzo dobry czas.,neutral
285,745.87,748.73,12:25,12:28,2.86,"Ale nie miał przez chwilę zębów, na początku obrazka nie miał zębów.",neutral
194,415.58,416.36,06:55,06:56,0.78,2 na 10.,neutral
918,3417.89,3421.15,56:57,57:01,3.26,"Mieliście z tym problem wchodząc na plan, bo jest tzw.",neutral
5,22.02,23.94,00:22,00:23,1.92,To jest szklanka Johna Portera.,neutral
115,690.86,692.58,11:30,11:32,1.72,To jest po prostu fakt.,neutral
208,755.75,757.48,12:35,12:37,1.73,Mówię ci.,neutral
42,187.01,187.73,03:07,03:07,0.72,Przez jak długo?,neutral
220,496.61,498.07,08:16,08:18,1.46,"Jak chcecie, to już musicie się dogadać.",neutral
397,2036.31,2038.53,33:56,33:58,2.22,Został Łukasz.,neutral
56,303.69,306.27,05:03,05:06,2.58,Ale również tych nie będziecie jedli.,neutral
10,33.8,38.6,00:33,00:38,4.8,"Czy robiłaś jakieś specjalne przygotowania, jakieś specjalne plany?",neutral
297,775.8,777.7,12:55,12:57,1.9,Czy mogę trzymać tatiśkę za ucho?,neutral
69,196.97,197.95,03:16,03:17,0.98,Albo cytrynką.,neutral
872,2333.15,2333.97,38:53,38:53,0.82,Bardzo mało czasu.,neutral
91,416.67,419.49,06:56,06:59,2.82,Nikt z nich nigdy nie jadł przecież owczych oczu.,neutral
189,656.04,661.74,10:56,11:01,5.7,"Kochani, już 20 i 21 czerwca na.",neutral
427,878.05,879.27,14:38,14:39,1.22,"Nie, bok, bok, bok.",neutral
504,2296.21,2298.37,38:16,38:18,2.16,No ale przecież kurde widział Ja już.,neutral
145,325.76,327.4,05:25,05:27,1.64,Rady odłamywacza.,neutral
650,2519.11,2519.77,41:59,41:59,0.66,Tak.,neutral
429,879.87,880.65,14:39,14:40,0.78,"Jeszcze jedna gruba, bro.",neutral
66,146.87,147.99,02:26,02:27,1.12,Dawaj!,neutral
325,1590.16,1593.96,26:30,26:33,3.8,Jak na razie zalicznie ostatniej konkurencji wszystkich podbudowało.,neutral
93,297.06,301.52,04:57,05:01,4.46,Rzadko kiedy miałam przerwę między jednym związkiem a drugim.,neutral
27,82.51,97.47,01:22,01:37,14.96,"Jeżeli na przykład jest to zbrodnia, to jak gdyby odczuwa się od razu najpierw smak złego zdarzenia, czegoś złego, ale też powiedzmy okoliczności tego, wyrywkowe, tak jakby takie mgnienia.",neutral
303,711.57,713.13,11:51,11:53,1.56,Dlaczego się udzielisz tylko na to?,neutral
330,1080.0,1081.78,18:00,18:01,1.78,Tak.,neutral
116,462.87,466.01,07:42,07:46,3.14,"Chłopaki są swoje wygłupy, że dwie flaszki mogą wypić.",neutral
924,3435.25,3437.29,57:15,57:17,2.04,"Czuliście, że jest presja oczekiwań?",neutral
363,1184.42,1187.78,19:44,19:47,3.36,"No a ja mam tą klejówkę wcześniej przygotowaną, więc teraz nie jestem.",neutral
201,464.86,471.3,07:44,07:51,6.44,"Pójdziemy za ciosem, żeby odhaczyć te najtrudniejsze rzeczy, moim zdaniem, bo to kontrola i strzelanie.",neutral
305,669.66,670.96,11:09,11:10,1.3,Ale lubisz po prostu kanapkę z serem?,neutral
51,172.21,178.59,02:52,02:58,6.38,"A Świeży i Dominik na komandosów przystało, poszli w te backstage'owe pokoje, gdzie weszli po prostu na sufit.",neutral
76,300.63,302.97,05:00,05:02,2.34,Ja i śmietana jesteśmy bardzo do siebie podobni.,neutral
232,1299.31,1302.45,21:39,21:42,3.14,"Stwierdziłem, że to musi być.",neutral
1078,3898.77,3906.49,64:58,65:06,7.72,"Więc jakby działo się, ale jednak wiem, że nie wykorzystałam w pełni swojej możliwości muzycznej kariery.",neutral
105,491.25,495.99,08:11,08:15,4.74,"To znaczy, że on nie jest zbyt dobry.",neutral
271,1110.03,1111.19,18:30,18:31,1.16,Ja nie gram papieża.,neutral
0,0.01,2.33,00:00,00:02,2.32,"Moi drodzy, witamy na największym chowanym w Polsce.",neutral
1328,4846.34,4848.22,80:46,80:48,1.88,Ale jest to bardzo smaczne.,neutral
130,563.01,565.05,09:23,09:25,2.04,"Znaczy minęło mnie całkowicie, nie pamiętam.",neutral
31,123.89,129.09,02:03,02:09,5.2,Z pomocą przewodnika sformułuję zapolować na moją pierwszą potrawę.,neutral
